INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
63,Lower_juba,Dhobley,Ceel Solar,Borehole,Dhobley,0.4223636,41.0244422,,,
64,Lower_juba,Dhobley,Ceeldhiig,Borehole,Dhobley,0.3958271,41.0090479,,,
65,Lower_juba,Dhobley,Mowlid Laqay,Borehole,Dhobley,0.404774,41.0247585,,,
66,Lower_juba,Dhobley,Taabto,Borehole,Taabto,0.3057392,41.4392889,,,
67,Lower_juba,Dhobley,Durdur,Borehole,Dhobley,0.4178119,40.9976555,,,
68,Lower_juba,Dhobley,Degelema,Borehole,Degelema,0.3006588,40.9985952,,,
69,Lower_juba,Dhobley,Diif,Borehole,Diif,0.9626293,41.0613864,,,
70,Lower_juba,Dhobley,Ceelka IDO,Borehole,Dhoobley,0.4268059,41.015793,,,
71,Lower_juba,Dhobley,Ceelka koowad,Borehole,Dhoobleey,0.4117634,41.0009216,,,
72,Lower_juba,Dhobley,Danwadaag,Borehole,Dhoobley,0.3961249,41.0030156,,,
73,Lower_juba,Dhobley,Guxweyne 1,Borehole,Dhobley,0.4082699,41.0136165,,,
74,Lower_juba,Dhobley,Guuxeyne 2,Borehole,Dhobley,0.4082637,41.0136122,,,
75,Lower_juba,Dhobley,Dhoobale,Borehole,Dhobley,0.4096949,41.0112162,,,
76,Lower_juba,Dhobley,Ceelqararow,Borehole,Dhoobley,0.4251115,41.0083244,,,
77,Gedo,Dollow,Garbolow,Shallow Well,Dollow,4.16606,42.07531,,,
78,Gedo,Dollow,Kabasa,Shallow Well,Dollow,3.982383,41.90696408,,,
79,Gedo,Dollow,Dhagahley,Shallow Well,Dollow,3.4728,42.3244,,,
80,Gedo,Dollow,Garbolow sw 1,Shallow Well,Dollow,4.164631,42.084641,,,
81,Gedo,Dollow,Garbolow sw2,Shallow Well,Dollow,4.166686,42.074868,,,
82,Gedo,Dollow,Ladan,Shallow Well,Dollow,4.134197,42.061846,,,
83,Gedo,Dollow,Qansahly,Shallow Well,Dollow,,,,,
84,Gedo,Dollow,Kurtu village,Shallow Well,Dollow,,,,,
85,Gedo,Dollow,Garbolow sw3,Shallow Well,Dollow,4.167,42.075288,,,
86,Gedo,Elwak,Elbanda,Borehole,Elbanda,2.7960015,41.009621,,,
87,Gedo,Elwak,OWRUU DIIMTU,Borehole,OWRU DIIMTO,2.7001253,40.9956587,,,
88,Gedo,Elwak,Ceelwaaq,Borehole,October,2.7864313,41.0165376,,,
